co_so_ma,total_orders
HC_KHONG__174_BINH_THUAN_TUY_1221,36
HC_HCM_33_LE_QUY_DON_D3_442,35
HC_HN_PHUONG_ONG_GREEN_P_668,69
HC_DN_GO_MALL_DA_NANG_1233,109
HC_NGHE_MUONG_THANH_VINH_1246,65
HC_HCM_PVOIL_CHXD_SO_4_TH_859,41
HC_HN_RUBY_CITY_HN_1324,54
HC_KH_108_LE_HONG_PHONG__428,45
HC_DNAI_DONG_KHOI_BH_624,129
HC_HCM_HUY_CAN_THU_DUC_HC_564,70
HC_HCM_D5_BINH_THANH_1348,37
HC_KHONG__VINCOM_OCEAN_PARK__1148,30
HC_HN_GO_33_THANG_LONG_895,47
HC_KH_DA_TUONG_2_NHA_TRA_852,42
HC_DN_654_HAI_BA_TRUNG_H_1301,71
HC_HN_CHARMVIT_TOWER_356,42
HC_BNIN_386_TRAN_PHU_TU_SO_476,103
HC_KHONG__230_NGUYEN_DUY_TRI_491,53
HC_DNAI_VINCOM_BIEN_HOA_121,95
HC_HCM_206_CAO_LO_488,48
HC_LDOMG_01_HAI_BA_TRUNG_A__309,50
HC_HCM_VINCOM_B3_178,65
HC_KHONG__HIGHLANDS_PVOIL_NO_886,44
HC_HN_HOC_VIEN_PHU_NU_VN_824,64
HC_HCM_LEXINGTON_322,59
HC_HDUONG_REST_STOP_V52_1_CT_1313,60
HC_HCM_CHUNG_CU_BO_CONG_A_647,45
HC_KHONG__PHU_QUOC_AIRPORT_N_908,34
HC_KHONG__MONG_CAI_POST_OFFI_1245,41
HC_KHONG__VINCOM_PLAZA_VIET__257,39
HC_HCM_SG_MALL_194,45
HC_BD_HANH_PHUC_HOSPITAL_890,45
HC_HCM_TSN_T3_AIRPORT_DEP_1295,31
HC_KHONG__SENSE_CITY_CA_MAU_601,105
HC_DN_MUONG_THANH_DA_NAN_1206,75
HC_BD_30_THANG_4_THU_DAU_758,101
HC_HN_SAVICO_LONG_BIEN_65,32
HC_HN_NAM_DO_COMPLEX_1317,30
HC_HN_96_INH_CONG_HA_NOI_670,63
HC_BNIN_HIM_LAM_24,86
HC_HCM_686_TRUONG_CHINH_T_1285,42
HC_KH_MUONG_THANH_NHA_TR_241,67
HC_KHONG__111_HOA_LU_QUY_NHO_655,67
HC_HN_VINCOM_LIEU_GIAI_B_294,35
HC_KHONG__HISTORICAL_MUSEUM__1170,38
HC_HCM_DHA_QUAN_7_884,47
HC_HCM_NGUYEN_THI_THAP_QU_831,55
HC_HN_FIVIMART_TAY_HO_89,56
HC_HN_FPT_PHAM_VAN_BACH_1142,46
HC_HCM_AKARI_CITY_BINH_TA_744,33
HC_DN_FPT_COMPLEX_DA_NAN_802,78
HC_HN_DOLPHIN_PLAZA_44,44
HC_HCM_KCN_BAU_BANG_DINH__1290,44
HC_HN_TIMES_CITY_50,35
HC_HP_VIEN_THONG_A_HP_35,36
HC_KH_CAM_RANH_AIRPORT_2_1229,52
HC_HN_01IMG_20171013_095_41,55
HC_HCM_270_VO_THI_SAU_QUA_901,33
HC_HN_GOLD_TOWER_364,60
HC_HN_36_DUY_TAN_HN_782,44
HC_QN_BIG_C_HA_LONG_27,47
HC_HN_CONG_VIEN_NUOC_HO__293,60
HC_KHONG__77_LY_THUONG_KIET__1271,66
HC_HN_TECHCOMBANK_D_039__1253,57
HC_HCM_GOLDEN_KING_D7_745,36
HC_KHONG__95_NGUYEN_VAN_THOA_385,69
HC_KHONG__HUNG_VUONG_ONG_XOA_684,111
HC_HP_POST_OFFICE_HAI_PH_1151,67
HC_HCM_CENTRAL_RETAIL_PHU_1225,61
HC_HCM_194_NGUYEN_TAT_THA_496,58
HC_HN_AIRIMEX_70,67
HC_DLAK_LE_DUAN_BUON_MA_TH_1303,111
HC_HN_METRO_YEN_NGHIA_HN_1277,36
HC_NGHE_HUU_NGHI_VINH_108,62
HC_KHONG__HUNG_VUONG_QUANG_N_679,41
HC_KH_26_HONG_BANG_N_TRA_573,47
HC_HCM_46_VO_VAN_TAN_D3_592,65
HC_KHONG__VO_VAN_KIET_PHAN_T_732,101
HC_HN_NAM_AN_KHANH_HN_766,48
HC_CT_LOTTE_CAN_THO_117,98
HC_DNAI_K24_VO_THI_SAU_126,73
HC_HCM_TRA_KHUC_TAN_BINH_865,35
HC_CT_VINCOM_XUAN_KHANH__528,101
HC_KHONG__NGUYEN_TRAI_THANH__613,66
HC_DN_AZURA_A_NANG_386,76
HC_HCM_D9_TAN_PHU_704,58
HC_HN_ROYAL_CITY_B2_93,48
HC_HN_789_BUILDING_HN_1145,36
HC_HCM_KCN_VSIP_2_1259,45
HC_KHONG__NGUYEN_HUE_PHU_YEN_1262,50
HC_QN_SUNWORLD_HA_LONG_889,69
HC_LDOMG_VINCOM_BAO_LOC_LD_1338,70
HC_HCM_PHAM_VAN_NGHI_474,47
HC_HCM_26_DONG_KHOI_D1_1288,57
HC_KHONG__153_LAC_LONG_QUAN__597,31
HC_KHONG__KCN_VAN_TRUNG_BAC__1354,57
HC_HUE_PHU_BAI_AIRPORT_2_633,50
HC_HCM_HCSHCM0201_FRIENDS_552,42
HC_HCM_CT_LAU_4_186,39
HC_HCM_NGO_UC_KE_136,50
HC_HCM_PEGASUITE_QUAN_8_846,63
HC_BD_540_AI_LO_BINH_DUO_234,101
HC_HCM_25_NO_TRANG_LONG_515,56
HC_HCM_166_NGUYEN_CONG_TR_448,55
HC_KHONG__PHU_LOC_PLAZA_LANG_477,46
HC_HN_GELEX_TOWER_286,53
HCM_TON_THAT_THIEP,66
HC_HCM_NGUYEN_TRI_PHUONG__1241,53
HC_CT_PVOIL_CHXD_PETEC_N_902,100
HC_KH_LUXURY_NHA_TRANG_242,40
HC_HCM_925_TAN_KY_TAN_QUY_609,44
HC_HN_KIOSK_CONG_VIEN_NU_292,65
HC_DN_VTV8_DA_NANG_2_862,103
HC_HN_MIPEC_LONG_BIEN_HN_1134,68
HC_BRVT_150_HA_LONG_VT_439,43
HC_HCM_HIGHLANDS_COFFEE_1220,44
HC_NGHE_CITY_HUB_VINH_347,31
HC_HN_495_NGUYEN_TRAI_299,58
HC_KHONG__R3_ROYAL_CITY_HN_1243,66
HC_BD_NGUYEN_VAN_TIET_BD_598,110
HC_KHONG__98_NGO_GIA_TU_340,42
HC_KH_VIETSKY_HOTEL_NHA__240,68
