CONTAINER ID   IMAGE                                                    COMMAND                  CREATED         STATUS                   PORTS                                                                                                         NAMES
202b11967fe6   cnm-avengers-coffee-microservices-ai-web-admin           "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             0.0.0.0:5174->5174/tcp                                                                                        avengers_web_admin
b5a0c45fa81b   cnm-avengers-coffee-microservices-ai-web-customer        "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             0.0.0.0:5175->5175/tcp                                                                                        avengers_web_customer
d31b6ed00e78   cnm-avengers-coffee-microservices-ai-api-gateway         "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             0.0.0.0:3000->3000/tcp                                                                                        avengers_api_gateway
4b312c0c94b2   cnm-avengers-coffee-microservices-ai-order-service       "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             0.0.0.0:3005->3005/tcp                                                                                        avengers_order_service
d2a0ad77737f   cnm-avengers-coffee-microservices-ai-menu-service        "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             3003/tcp                                                                                                      avengers_menu_service
56667f9f808b   redis:7-alpine                                           "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes (healthy)   0.0.0.0:6379->6379/tcp                                                                                        avengers_redis
ee02a382af4f   cnm-avengers-coffee-microservices-ai-identity-service    "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             3001/tcp                                                                                                      avengers_identity_service
7c8e42f09871   rabbitmq:3-management                                    "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes (healthy)   4369/tcp, 5671/tcp, 0.0.0.0:5672->5672/tcp, 15671/tcp, 15691-15692/tcp, 25672/tcp, 0.0.0.0:15672->15672/tcp   avengers_mq
24a64054ec4b   cnm-avengers-coffee-microservices-ai-news-service        "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             3006/tcp                                                                                                      avengers_news_service
b25313ebde5d   cnm-avengers-coffee-microservices-ai-inventory-service   "docker-entrypoint.s…"   8 minutes ago   Up 7 minutes             3004/tcp                                                                                                      avengers_inventory_service
24620217c017   cnm-avengers-coffee-microservices-ai-ai-service          "uvicorn main:app --…"   8 minutes ago   Up 7 minutes             0.0.0.0:61686->8000/tcp                                                                                       avengers_ai_service
