id,store_name,address,hotline,hours,utilities,picture_url,detail_url,tinh_thanh
7,Phòng Vip Sân bay Đà Nẵng,"Khu vực VIP ga Quốc Nội, Sân bay Đà Nẵng, 62 Trần Quốc Toản, Quận Hải Châu, Tp. Đà Nẵng",091 432 1962,,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/7/x.html,Đà Nẵng
6,Highlands Coffee Sân bay quốc tế Đà Nẵng,"Khu vực check-in ga Quốc Tế, Sân bay Đà Nẵng, 62 Trần Quốc Toản, quận Hải Châu, Tp. Đà Nẵng",(0236) 7109 559,,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/03_2018/thumbs/2000_crop_z691694160295_6230d98afb0cc62be3a4e2370e0174c1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/6/x.html,Đà Nẵng
2,Highlands Coffee Nguyen Kim DN,"46 Điện Biên Phủ, phường Chính Gián, quận Thanh Khê, Tp. Đà Nẵng",(0236) 355.0188,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/2/x.html,Đà Nẵng
1,Riverside,"186 Bạch Đằng, phường Phước Ninh, quận Hải Châu, Tp. Đà Nẵng",(0236) 357.5787,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/1/x.html,Đà Nẵng
4,Highlands Coffee Kiosk Đà Nẵng,"Ga Quốc Nội, Sân bay Đà Nẵng, 62 Trần Quốc Toản, Quận Hải Châu, Tp. Đà Nẵng",0914.321.962,6:00 – 22:00 * 7 ngày/ tuần,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/4/x.html,Đà Nẵng
3,Highlands Coffee Airport Đà Nẵng,"Khu vực check-in ga Quốc Nội, Sân bay Đà Nẵng, 62 Trần Quốc Toản, quận Hải Châu, Tp. Đà Nẵng",0914.321.962,6:00 – 22:00 * 7 ngày/ tuần,Wifi Miễn Phí,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/3/x.html,Đà Nẵng
8,Highlands Coffee Nguyễn Hữu Thọ,"363 Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Tp. Đà Nẵng",(0236) 361.3025,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/8/x.html,Đà Nẵng
5,HigHlands Coffeee Hoàng Anh Gia Lai,"1 Nguyễn Văn Linh, phường Nam Dương, quận Hải Châu, Tp. Đà Nẵng",(0236) 386.6135,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/5/x.html,Đà Nẵng
10,Highlands Coffee Indochina Đà Nẵng,"74 Bạch Đằng, phường Hải Châu 1, Quận Hải Châu , Tp. Đà Nẵng",(0236) 384.9203,,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/10/x.html,Đà Nẵng
11,Highlands Coffee 438 Hùng Vương,"438 Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Tp. Đà Nẵng",(0236) 3519 409,07:00 - 23:00,Wifi Miễn Phí Thanh toán bằng thẻ,https://www.highlandscoffee.com.vn/vnt_upload/dealer/02_2018/thumbs/2000_crop_Highlands-Coffee-anh1.jpg,https://www.highlandscoffee.com.vn/vn/he-thong-cua-hang/11/x.html,Đà Nẵng
